Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-14-5 일본,7.8,131115,176277,218526,152968,145684,145684,160252,160252,236008,226101,160252,160252,138400,138400,145684,160252,218526,0,145684,145684,138925,747699,393215,287237,319246,125784,569969,139845,593718,199231,293395



호텔 그레이서리 신주쿠(Hotel Gracery Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabukicho 1-19-1 일본,8.3,214921,254796,375605,232493,214921,214921,0,0,254796,321233,232493,0,0,0,232493,0,331168,232493,214921,214921,214020,198752,187752,199231,132366,300283,569969,137048,151339,195246,993883



호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),160-0004 도쿄 도 Shinjuku-ku Yotsuya3-14-1 일본,8.3,132366,0,206524,121096,132366,187752,121096,145511,0,200328,154889,126722,164283,145511,164283,183055,244067,126722,132366,132366,231031,0,262832,208809,557368,216273,220687,216273,137048,281898,140803



La'gent Hotel Shinjuku Kabukicho,160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-40-5 일본,8.4,204633,251567,356700,0,208388,212143,204633,214020,230916,274978,212143,214020,197124,183982,227162,232794,281605,236548,195246,180227,218388,194777,220208,195246,208618,294277,137048,325762,313022,181990,378477



APA Hotel Shinjuku Kabukicho Chuo,160-0021 도쿄 도 Shinjuku Kabukicho 2-26-5 일본,7.7,128600,151128,196185,128600,128600,128600,138925,138925,161454,213062,128600,128600,128600,0,138925,151128,196185,138925,0,128600,141760,130266,0,301030,0,423159,0,319246,0,178350,375605



호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 8-1-3 일본,7.9,138456,185390,241711,152536,143149,152536,152536,171310,0,261775,161923,152536,171310,180697,208857,0,288645,166616,157230,208857,192708,136109,401287,241805,378571,234671,233330,239460,233330,204633,281898



