Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
sequence MIYASHITA PARK - Shibuya,367786.0,87.0,26577.0,11.0,51.0,4589.0,11.0
The OneFive Tokyo Shibuya,344765.0,88.0,26577.0,15.0,54.0,4589.0,14.0
더 밀레니얼스 시부야(The Millennials Shibuya),316727.0,86.0,26577.0,10.0,50.0,4589.0,10.0
시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),293102.0,82.0,31070.0,6.0,62.0,10516.0,8.0
all day place shibuya,333631.0,83.0,31070.0,7.0,50.0,4589.0,10.0
Hotel Wing International Premium Shibuya,260031.0,88.0,26577.0,12.0,59.0,12619.0,4.0
아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),275459.0,89.0,33173.0,7.0,58.0,10516.0,9.0
시부야 호텔 엔(Shibuya Hotel En),302499.0,90.0,26577.0,12.0,57.0,10516.0,8.0
시부야 토부 호텔(Shibuya Tobu Hotel),273955.0,90.0,26577.0,12.0,60.0,12619.0,5.0
Mustard Hotel Shibuya,303394.0,83.0,31070.0,7.0,63.0,6118.0,3.0
토큐 스테이 시부야(Tokyu Stay Shibuya),279938.0,88.0,33173.0,6.0,62.0,10516.0,8.0
도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),256102.0,89.0,26577.0,14.0,54.0,4589.0,14.0
사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),250510.0,84.0,31070.0,8.0,51.0,4589.0,11.0
"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",521008.0,82.0,31070.0,6.0,54.0,10516.0,1.0
시부야 그랑벨 호텔(Shibuya Granbell Hotel),254206.0,83.0,31070.0,7.0,57.0,10516.0,3.0
시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),273777.0,83.0,31070.0,7.0,54.0,10516.0,5.0
트렁크 (호텔)(TRUNK (HOTEL)),367446.0,90.0,26577.0,14.0,54.0,4589.0,14.0
토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),294950.0,79.0,31070.0,3.0,52.0,7648.0,13.0
시부야 크레스톤 호텔(Shibuya Creston Hotel),297756.0,90.0,33173.0,6.0,66.0,10516.0,9.0
Hotel DIAMOND,281943.0,89.0,26577.0,11.0,55.0,10516.0,6.0
SALON Shibuya,341192.0,87.0,26577.0,9.0,49.0,4589.0,9.0
Tabist Hotel New Washington Shibuya,322553.0,89.0,33173.0,5.0,61.0,12619.0,3.0
The Millennials Shibuya / Vacation STAY 80745,369266.0,88.0,26577.0,10.0,50.0,4589.0,10.0
The Millennials Shibuya / Vacation STAY 80776,376155.0,88.0,26577.0,10.0,50.0,4589.0,10.0
Prince Smart Inn Ebisu,371711.0,88.0,27246.0,8.0,45.0,4493.0,8.0
도미 인 익스프레스 메구로 아오바다이 핫 스프링(Dormy Inn Express Meguro Aobadai Hot Spring),364277.0,91.0,33173.0,3.0,63.0,12619.0,3.0
토큐 스테이 아오야마 프리미어(Tokyu Stay Aoyama Premier),924224.0,86.0,26577.0,9.0,53.0,5640.0,10.0
THE AOYAMA GRAND HOTEL,512270.0,86.0,26577.0,9.0,53.0,5640.0,10.0
Act Hotel Shibuya,1583386.0,93.0,27915.0,7.0,53.0,5927.0,7.0
Olympic Inn Shibuya,581368.0,95.0,27915.0,9.0,55.0,5927.0,9.0
remm Roppongi,829455.0,90.0,26577.0,13.0,50.0,4493.0,8.0
아파 호텔 롯폰기 에키마에(APA Hotel Roppongi Ekimae),502569.0,87.0,26577.0,10.0,49.0,4493.0,7.0
호텔 알라만다 아오야마 도쿄(Hotel Allamanda Aoyama Tokyo),608933.0,82.0,26577.0,5.0,49.0,5640.0,6.0
액트 호텔 롯폰기(Act Hotel Roppongi),584794.0,86.0,26577.0,9.0,50.0,4493.0,8.0
HOTELみなと-MINATO-,568607.0,86.0,28011.0,13.0,60.0,4876.0,7.0
Meguroholic Hotel,559523.0,87.0,27246.0,6.0,41.0,4493.0,6.0
그랜드 하얏트 도쿄(Grand Hyatt Tokyo),474874.0,90.0,26577.0,13.0,54.0,5640.0,7.0
