index,Date,Day,Airline,Departure time,Departure airport,Arrival time,Arrival airport,Flight time,Price
0,2023-06-01,목,ANA항공,19,GMP,22,HND,02:20:00,329700
1,2023-06-01,목,일본항공,7,GMP,9,HND,02:05:00,331100
2,2023-06-01,목,일본항공,19,GMP,21,HND,02:10:00,331100
3,2023-06-01,목,아시아나항공,15,GMP,17,HND,02:05:00,334300
4,2023-06-01,목,아시아나항공,19,GMP,22,HND,02:10:00,334300
5,2023-06-01,목,아시아나항공,8,GMP,10,HND,02:05:00,334300
6,2023-06-01,목,ANA항공,17,GMP,19,HND,02:15:00,347400
7,2023-06-01,목,일본항공,12,GMP,14,HND,02:10:00,348400
8,2023-06-01,목,대한항공,9,GMP,11,HND,02:10:00,387800
9,2023-06-01,목,대한항공,18,GMP,21,HND,02:20:00,387800
10,2023-06-01,목,대한항공,16,GMP,18,HND,02:15:00,387800
11,2023-06-01,목,대한항공,7,GMP,9,HND,02:05:00,401800
12,2023-06-01,목,대한항공,12,GMP,14,HND,02:10:00,401800
13,2023-06-01,목,대한항공,19,GMP,21,HND,02:10:00,401800
14,2023-06-01,목,ANA항공,12,GMP,15,HND,02:15:00,402400
15,2023-06-01,목,일본항공,16,GMP,18,HND,02:15:00,402500
16,2023-06-01,목,일본항공,18,GMP,21,HND,02:20:00,402500
17,2023-06-01,목,일본항공,9,GMP,11,HND,02:10:00,402500
18,2023-06-01,목,ANA항공,8,GMP,10,HND,02:05:00,412800
19,2023-06-01,목,ANA항공,19,GMP,22,HND,02:10:00,412800
20,2023-06-01,목,ANA항공,15,GMP,17,HND,02:05:00,412800
21,2023-06-01,목,아시아나항공,17,GMP,19,HND,02:15:00,503200
22,2023-06-01,목,아시아나항공,19,GMP,22,HND,02:20:00,503200
23,2023-06-02,금,일본항공,12,GMP,14,HND,02:10:00,348400
24,2023-06-02,금,일본항공,19,GMP,21,HND,02:10:00,362800
25,2023-06-02,금,대한항공,18,GMP,21,HND,02:20:00,387800
26,2023-06-02,금,아시아나항공,15,GMP,17,HND,02:05:00,388300
27,2023-06-02,금,대한항공,16,GMP,18,HND,02:15:00,397700
28,2023-06-02,금,대한항공,9,GMP,11,HND,02:10:00,397700
29,2023-06-02,금,아시아나항공,8,GMP,10,HND,02:05:00,398100
30,2023-06-02,금,아시아나항공,19,GMP,22,HND,02:10:00,398100
31,2023-06-02,금,대한항공,12,GMP,14,HND,02:10:00,401800
32,2023-06-02,금,대한항공,19,GMP,21,HND,02:10:00,401800
33,2023-06-02,금,ANA항공,19,GMP,22,HND,02:20:00,402400
34,2023-06-02,금,일본항공,16,GMP,18,HND,02:15:00,402500
35,2023-06-02,금,일본항공,18,GMP,21,HND,02:20:00,402500
36,2023-06-02,금,일본항공,9,GMP,11,HND,02:10:00,402500
37,2023-06-02,금,ANA항공,15,GMP,17,HND,02:05:00,412800
38,2023-06-02,금,ANA항공,19,GMP,22,HND,02:10:00,412800
39,2023-06-02,금,ANA항공,8,GMP,10,HND,02:05:00,412800
40,2023-06-03,토,ANA항공,19,GMP,22,HND,02:20:00,329700
41,2023-06-03,토,일본항공,19,GMP,21,HND,02:10:00,331100
42,2023-06-03,토,ANA항공,17,GMP,19,HND,02:15:00,347400
43,2023-06-03,토,대한항공,18,GMP,21,HND,02:20:00,387800
44,2023-06-03,토,대한항공,16,GMP,18,HND,02:15:00,387800
45,2023-06-03,토,아시아나항공,19,GMP,22,HND,02:10:00,388300
46,2023-06-03,토,아시아나항공,15,GMP,17,HND,02:05:00,388300
47,2023-06-03,토,대한항공,19,GMP,21,HND,02:10:00,401800
48,2023-06-03,토,일본항공,12,GMP,14,HND,02:10:00,402500
49,2023-06-03,토,일본항공,18,GMP,21,HND,02:20:00,402500
50,2023-06-03,토,일본항공,16,GMP,18,HND,02:15:00,402500
51,2023-06-03,토,ANA항공,19,GMP,22,HND,02:10:00,412800
52,2023-06-03,토,ANA항공,15,GMP,17,HND,02:05:00,412800
53,2023-06-03,토,아시아나항공,17,GMP,19,HND,02:15:00,548200
54,2023-06-03,토,아시아나항공,19,GMP,22,HND,02:20:00,548200
55,2023-06-04,일,일본항공,7,GMP,9,HND,02:05:00,331100
56,2023-06-04,일,ANA항공,19,GMP,22,HND,02:20:00,347400
57,2023-06-04,일,대한항공,16,GMP,18,HND,02:15:00,387800
58,2023-06-04,일,대한항공,18,GMP,21,HND,02:20:00,387800
59,2023-06-04,일,대한항공,9,GMP,11,HND,02:10:00,387800
60,2023-06-04,일,아시아나항공,15,GMP,17,HND,02:05:00,388300
61,2023-06-04,일,아시아나항공,19,GMP,22,HND,02:10:00,388300
62,2023-06-04,일,아시아나항공,8,GMP,10,HND,02:05:00,388300
63,2023-06-04,일,일본항공,12,GMP,14,HND,02:10:00,390200
64,2023-06-04,일,대한항공,7,GMP,9,HND,02:05:00,401800
65,2023-06-04,일,일본항공,18,GMP,21,HND,02:20:00,402500
66,2023-06-04,일,일본항공,16,GMP,18,HND,02:15:00,402500
67,2023-06-04,일,일본항공,9,GMP,11,HND,02:10:00,402500
68,2023-06-04,일,ANA항공,19,GMP,22,HND,02:10:00,412800
69,2023-06-04,일,ANA항공,15,GMP,17,HND,02:05:00,412800
70,2023-06-04,일,ANA항공,8,GMP,10,HND,02:05:00,412800
71,2023-06-04,일,아시아나항공,19,GMP,22,HND,02:20:00,548200
72,2023-06-05,월,ANA항공,19,GMP,22,HND,02:20:00,329700
73,2023-06-05,월,ANA항공,17,GMP,19,HND,02:15:00,329700
74,2023-06-05,월,ANA항공,12,GMP,15,HND,02:15:00,329700
