index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
0,sequence MIYASHITA PARK - Shibuya,2023-06-01,목,8.3,8,310216
1,The OneFive Tokyo Shibuya,2023-06-01,목,7.8,8,248939
2,더 밀레니얼스 시부야(The Millennials Shibuya),2023-06-01,목,8.6,9,252988
3,시부야 스트림 엑셀 호텔 도큐(Shibuya Stream Excel Hotel Tokyu),2023-06-01,목,8.7,9,455262
4,all day place shibuya,2023-06-01,목,8.5,8,277212
5,Hotel Wing International Premium Shibuya,2023-06-01,목,8.0,8,225284
6,아파 호텔 시부야 도겐자카(APA Hotel Shibuya Dogenzakaue),2023-06-01,목,7.3,7,206510
7,시부야 호텔 엔(Shibuya Hotel En),2023-06-01,목,7.8,8,239684
8,시부야 토부 호텔(Shibuya Tobu Hotel),2023-06-01,목,7.9,8,177056
9,Mustard Hotel Shibuya,2023-06-01,목,7.5,8,542610
10,토큐 스테이 시부야(Tokyu Stay Shibuya),2023-06-01,목,8.2,8,251380
11,도미 인 프리미엄 시부야-진구마에(Dormy Inn Premium Shibuya-jingumae),2023-06-01,목,8.3,8,314096
12,사쿠라 플뤠르 아오야마(Sakura Fleur Aoyama),2023-06-01,목,8.0,8,148312
13,"Cerulean Tower Tokyu Hotel, A Pan Pacific Partner Hotel",2023-06-01,목,8.9,9,496775
14,시부야 그랑벨 호텔(Shibuya Granbell Hotel),2023-06-01,목,7.4,7,258617
15,시부야 엑셀 호텔 도큐(Shibuya Excel Hotel Tokyu),2023-06-01,목,8.4,8,553824
16,트렁크 (호텔)(TRUNK (HOTEL)),2023-06-01,목,8.8,9,2106607
17,토큐 스테이 시부야 신미나미구치(Tokyu Stay Shibuya Shin-Minamiguchi),2023-06-01,목,7.9,8,339240
18,시부야 크레스톤 호텔(Shibuya Creston Hotel),2023-06-01,목,8.0,8,195246
19,Hotel DIAMOND,2023-06-01,목,7.4,7,265648
20,SALON Shibuya,2023-06-01,목,7.4,7,209514
21,Tabist Hotel New Washington Shibuya,2023-06-01,목,6.6,7,168963
22,The Millennials Shibuya / Vacation STAY 80745,2023-06-01,목,8.0,8,159764
23,The Millennials Shibuya / Vacation STAY 80776,2023-06-01,목,8.2,8,159764
24,Hotel Emit Shibuya - Vacation STAY 40892v,2023-06-01,목,7.3,7,286280
25,Hotel Emit Shibuya - Vacation STAY 40890v,2023-06-01,목,7.4,7,214715
26,Hotel Emit Shibuya - Vacation STAY 40888v,2023-06-01,목,4.0,4,214715
27,신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),2023-06-01,목,7.8,8,131115
28,La'gent Hotel Shinjuku Kabukicho,2023-06-01,목,8.4,8,204633
29,APA Hotel Shinjuku Kabukicho Chuo,2023-06-01,목,7.7,8,128600
30,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),2023-06-01,목,7.9,8,138456
31,신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),2023-06-01,목,7.1,7,167792
32,신주쿠 프린스 호텔(Shinjuku Prince Hotel),2023-06-01,목,7.9,8,202350
33,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),2023-06-01,목,7.8,8,161454
34,APA Hotel Higashi Shinjuku Kabukicho Tower,2023-06-01,목,8.0,8,138925
35,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),2023-06-01,목,8.3,8,321356
