Date,Day,Airline,Departure time,Departure airport,Arrival time,Arrival airport,Flight info,Flight time,Price
06.01,목,ANA,19:55,GMP,22:15,HND,직항,02시간 20분,"329,700"
06.01,목,일본항공,07:50,GMP,09:55,HND,직항,02시간 05분,"331,100"
06.01,목,일본항공,19:20,GMP,21:30,HND,직항,02시간 10분,"331,100"
06.01,목,아시아나항공,15:30,GMP,17:35,HND,직항,02시간 05분,"334,300"
06.01,목,아시아나항공,19:50,GMP,22:00,HND,직항,02시간 10분,"334,300"
06.01,목,아시아나항공,08:40,GMP,10:45,HND,직항,02시간 05분,"334,300"
06.01,목,ANA,17:05,GMP,19:20,HND,직항,02시간 15분,"347,400"
06.01,목,일본항공,12:05,GMP,14:15,HND,직항,02시간 10분,"348,400"
06.01,목,대한항공,09:00,GMP,11:10,HND,직항,02시간 10분,"387,800"
06.01,목,대한항공,18:40,GMP,21:00,HND,직항,02시간 20분,"387,800"
06.01,목,대한항공,16:15,GMP,18:30,HND,직항,02시간 15분,"387,800"
06.01,목,대한항공,07:50,GMP,09:55,HND,직항,02시간 05분,"401,800"
06.01,목,대한항공,12:05,GMP,14:15,HND,직항,02시간 10분,"401,800"
06.01,목,대한항공,19:20,GMP,21:30,HND,직항,02시간 10분,"401,800"
06.01,목,ANA,12:45,GMP,15:00,HND,직항,02시간 15분,"402,400"
06.01,목,일본항공,16:15,GMP,18:30,HND,직항,02시간 15분,"402,500"
06.01,목,일본항공,18:40,GMP,21:00,HND,직항,02시간 20분,"402,500"
06.01,목,일본항공,09:00,GMP,11:10,HND,직항,02시간 10분,"402,500"
06.01,목,ANA,08:40,GMP,10:45,HND,직항,02시간 05분,"412,800"
06.01,목,ANA,19:50,GMP,22:00,HND,직항,02시간 10분,"412,800"
06.01,목,ANA,15:30,GMP,17:35,HND,직항,02시간 05분,"412,800"
06.01,목,아시아나항공,17:05,GMP,19:20,HND,직항,02시간 15분,"503,200"
06.01,목,아시아나항공,19:55,GMP,22:15,HND,직항,02시간 20분,"503,200"
06.02,금,일본항공,12:05,GMP,14:15,HND,직항,02시간 10분,"348,400"
06.02,금,일본항공,19:20,GMP,21:30,HND,직항,02시간 10분,"362,800"
06.02,금,대한항공,18:40,GMP,21:00,HND,직항,02시간 20분,"387,800"
06.02,금,아시아나항공,15:30,GMP,17:35,HND,직항,02시간 05분,"388,300"
06.02,금,대한항공,16:15,GMP,18:30,HND,직항,02시간 15분,"397,700"
06.02,금,대한항공,09:00,GMP,11:10,HND,직항,02시간 10분,"397,700"
06.02,금,아시아나항공,08:40,GMP,10:45,HND,직항,02시간 05분,"398,100"
06.02,금,아시아나항공,19:50,GMP,22:00,HND,직항,02시간 10분,"398,100"
06.02,금,대한항공,12:05,GMP,14:15,HND,직항,02시간 10분,"401,800"
06.02,금,대한항공,19:20,GMP,21:30,HND,직항,02시간 10분,"401,800"
06.02,금,ANA,19:55,GMP,22:15,HND,직항,02시간 20분,"402,400"
06.02,금,일본항공,16:15,GMP,18:30,HND,직항,02시간 15분,"402,500"
06.02,금,일본항공,18:40,GMP,21:00,HND,직항,02시간 20분,"402,500"
06.02,금,일본항공,09:00,GMP,11:10,HND,직항,02시간 10분,"402,500"
06.02,금,ANA,15:30,GMP,17:35,HND,직항,02시간 05분,"412,800"
06.02,금,ANA,19:50,GMP,22:00,HND,직항,02시간 10분,"412,800"
06.02,금,ANA,08:40,GMP,10:45,HND,직항,02시간 05분,"412,800"
06.03,토,ANA,19:55,GMP,22:15,HND,직항,02시간 20분,"329,700"
06.03,토,일본항공,19:20,GMP,21:30,HND,직항,02시간 10분,"331,100"
06.03,토,ANA,17:05,GMP,19:20,HND,직항,02시간 15분,"347,400"
06.03,토,대한항공,18:40,GMP,21:00,HND,직항,02시간 20분,"387,800"
06.03,토,대한항공,16:15,GMP,18:30,HND,직항,02시간 15분,"387,800"
06.03,토,아시아나항공,19:50,GMP,22:00,HND,직항,02시간 10분,"388,300"
